,acc,macro_f1,f1_95ci,qwk,log_loss,brier,ece
majority class,0.510548523206751,0.22532588454376165,"[0.212, 0.237]",0.0,,,
TF-IDF + LinearSVC (old cleaning),0.5506329113924051,0.4840376425742279,"[0.436, 0.531]",0.37718192500801195,,,
TF-IDF + LinearSVC (config cleaning),0.5443037974683544,0.4773965871526847,"[0.431, 0.524]",0.3619912402521098,,,
Laya zero-shot choice,0.46835443037974683,0.30049850818538243,"[0.261, 0.338]",0.09730031391698635,1.0479761689473321,0.6346061351360633,0.06429518608247711
Laya zero-shot score (argmax),0.4620253164556962,0.311453645632122,"[0.271, 0.350]",0.13513831665685694,1.0891408550179809,0.6568955438320371,0.09186943010340318
Laya choice + temp/bias calibration,0.5084388185654009,0.2250233426704015,"[0.211, 0.238]",-0.009493556654514013,1.0306692002282793,0.6218345582032982,0.06524659170578608
Laya score + temp/bias calibration,0.510548523206751,0.22532588454376165,"[0.213, 0.238]",0.0,1.029564426342113,0.6193128633590839,0.031949190560830815
Laya signals + LR,0.41983122362869196,0.4156733106919545,"[0.368, 0.461]",0.2706767976226525,1.016523788183051,0.6256406014243769,0.07529468557054708
Laya embeddings + LR,0.47468354430379744,0.4763758856493155,"[0.428, 0.519]",0.37283469955743476,0.9896464943885803,0.603697547455768,0.05362460287562905
Laya embeddings + signals + LR,0.4936708860759494,0.4943161619363587,"[0.447, 0.538]",0.39771053535314993,0.9803505637542621,0.5986993046759591,0.04326834144872784
